,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
167,flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,,Flake8 plugin to find commented out or dead code.,linters,22,True,wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2021-01-26 02:15:06.000,2021-01-26 02:15:04.000,6.0,23.0,179.0,2020-10-12 08:27:22.000,1.0.0,10.0,9.0,,['flake8'],flake8-eradicate,2.0,274.0,72.0,,https://pypi.org/project/flake8-eradicate,2020-10-12 08:26:40.000,72.0,59325.0,59325.0,,,,3.0,,,,,,,,,,
168,releases,https://github.com/bitprophet/releases,,A powerful Sphinx changelog-generating extension.,documentation,22,False,bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2020-01-30 01:07:19.000,2020-01-26 03:27:03.000,35.0,42.0,153.0,2020-01-11 00:04:02.000,1.6.2,31.0,10.0,,['sphinx'],releases,28.0,520.0,1023.0,317.0,https://pypi.org/project/releases,2020-01-11 00:04:02.000,706.0,4197.0,4197.0,,,,3.0,,,,,,,,,,
169,xdoctest,https://github.com/Erotemic/xdoctest,,A rewrite of Python's builtin doctest module (with pytest plugin integration) but without all the weirdness.,testing,22,True,Erotemic/xdoctest,https://github.com/Erotemic/xdoctest,Apache-2.0,2017-09-24 01:59:02.000,2021-01-29 16:21:44.000,2021-01-29 16:06:28.000,4.0,16.0,87.0,2021-01-29 16:18:48.000,0.15.4,56.0,4.0,,,xdoctest,16.0,583.0,801.0,749.0,https://pypi.org/project/xdoctest,2021-01-29 16:18:48.000,52.0,20604.0,20604.0,,,,3.0,,,,,,,,,,conda-forge/xdoctest
170,memory_profiler,https://github.com/fabianp/memory_profiler,,Monitor Memory usage of Python code.,profiling,22,False,fabianp/memory_profiler,https://github.com/fabianp/memory_profiler,BSD-3-Clause,2016-05-26 17:45:08.632,2020-10-20 18:00:58.207,2018-06-28 13:35:12.000,11.0,,60.0,2018-08-16 03:16:49.000,0.54.0,52.0,61.0,conda-forge/memory_profiler,,memory_profiler,,500.0,534.0,,https://pypi.org/project/memory_profiler,2018-08-16 03:16:49.000,534.0,91044.0,92876.0,https://anaconda.org/conda-forge/memory_profiler,2020-10-20 18:00:58.207,104468.0,3.0,,,,,,,,,,
171,Scalene,https://github.com/emeryberger/scalene,,"Scalene: a high-performance, high-precision CPU and memory profiler for Python.",profiling,21,True,emeryberger/scalene,https://github.com/emeryberger/scalene,Apache-2.0,2019-12-17 20:56:28.000,2021-02-10 01:23:23.000,2021-02-09 18:19:42.000,132.0,58.0,3653.0,2021-01-27 22:40:19.000,1.1.15,88.0,17.0,,,scalene,19.0,929.0,24.0,24.0,https://pypi.org/project/scalene,2021-01-27 22:40:19.000,0.0,1034.0,1034.0,,,,3.0,,,,,,,,,,
172,pipx,https://github.com/pipxproject/pipx,,Install and Run Python Applications in Isolated Environments.,dependency-managers,21,True,pipxproject/pipx,https://github.com/pipxproject/pipx,MIT,2018-10-06 18:47:46.000,2021-02-09 08:02:45.000,2021-02-08 19:28:04.000,146.0,284.0,3192.0,2021-01-16 07:52:21.000,0.16.0.0,41.0,53.0,,,pipx,64.0,414.0,2.0,,https://pypi.org/project/pipx,2021-01-16 08:17:57.000,2.0,18977.0,18977.0,,,,3.0,,,,,,,,,,
173,dephell,https://github.com/dephell/dephell,,"Python project management. Manage packages: convert between formats, lock, install, resolve, isolate, test, build..",dependency-managers,21,True,dephell/dephell,https://github.com/dephell/dephell,MIT,2018-08-31 17:39:18.000,2021-01-11 21:31:40.000,2021-01-11 21:31:39.000,96.0,161.0,1676.0,2020-04-28 06:31:17.000,.0.8.3,30.0,37.0,,,dephell,100.0,2145.0,8.0,,https://pypi.org/project/dephell,2020-04-28 06:29:24.000,8.0,6310.0,6316.0,,,,3.0,122.0,,,,,,,,,
174,pyannotate,https://github.com/dropbox/pyannotate,,Auto-generate PEP-484 annotations.,refactoring,21,True,dropbox/pyannotate,https://github.com/dropbox/pyannotate,Apache-2.0,2017-11-13 20:18:08.000,2021-02-06 00:39:39.000,2020-11-10 12:27:42.000,42.0,33.0,1170.0,2019-09-16 15:37:03.000,1.2.0,9.0,15.0,,,pyannotate,24.0,93.0,79.0,57.0,https://pypi.org/project/pyannotate,2019-09-16 15:37:03.000,22.0,1390.0,1390.0,,,,3.0,,,,,,,,,,
175,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",packaging,21,True,linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000,2021-02-11 06:28:08.000,2020-12-14 23:37:34.000,62.0,55.0,1118.0,2020-10-19 03:49:16.000,0.4.0,53.0,29.0,,,shiv,26.0,,10.0,,https://pypi.org/project/shiv,2020-10-19 03:49:16.000,10.0,2651.0,2657.0,,,,3.0,114.0,-2.0,,,,,,,,
176,pycco,https://github.com/pycco-docs/pycco,,Literate-style documentation generator.,documentation,21,False,pycco-docs/pycco,https://github.com/pycco-docs/pycco,MIT,2010-06-29 07:02:31.000,2019-12-20 19:59:53.000,2019-12-20 19:59:49.000,126.0,28.0,736.0,2018-07-25 01:42:48.000,0.6.0,11.0,36.0,,,pycco,26.0,222.0,308.0,202.0,https://pypi.org/project/pycco,2018-07-25 01:42:48.000,106.0,833.0,833.0,,,,3.0,,,,,,,,,,
177,pytest-testmon,https://github.com/tarpas/pytest-testmon,,Selects tests affected by changed files. Continous test runner when used with pytest-watch.,testing,21,True,tarpas/pytest-testmon,https://github.com/tarpas/pytest-testmon,AGPL-3.0,2015-02-02 14:21:10.000,2020-08-05 15:07:23.000,2020-08-05 15:07:10.000,25.0,71.0,465.0,2020-08-05 15:08:20.000,1.0.3,31.0,16.0,conda-forge/pytest-testmon,['pytest'],pytest-testmon,36.0,271.0,300.0,251.0,https://pypi.org/project/pytest-testmon,2019-11-27 13:50:53.000,49.0,23704.0,24451.0,https://anaconda.org/conda-forge/pytest-testmon,2019-08-03 00:17:17.063,26920.0,3.0,,,,,,,,,,
