,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
92,mccabe,https://github.com/PyCQA/mccabe,,McCabe complexity checker for Python.,code-metrics,27,True,PyCQA/mccabe,https://github.com/PyCQA/mccabe,Saxpath,2013-02-20 22:19:04.000,2020-11-23 03:29:18.000,2020-10-03 17:22:54.000,38.0,33.0,376.0,2017-01-26 22:13:14.000,0.6.1,11.0,19.0,conda-forge/mccabe,mccabe,7.0,128.0,210011.0,179001.0,https://pypi.org/project/mccabe,2017-01-26 22:13:14.000,31010.0,6165460.0,6205971.0,https://anaconda.org/conda-forge/mccabe,2018-07-08 18:43:04.536,2309127.0,2.0,,,,,,,,,,,
93,sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,,Type hints support for the Sphinx autodoc extension.,documentation,27,True,agronholm/sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2021-02-21 16:06:51.000,2021-02-21 16:06:51.000,60.0,67.0,311.0,2020-10-12 20:37:53.000,1.11.1,28.0,28.0,conda-forge/sphinx-autodoc-typehints,sphinx-autodoc-typehints,39.0,158.0,1380.0,,https://pypi.org/project/sphinx-autodoc-typehints,2020-10-12 20:37:53.000,1380.0,89317.0,92909.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2020-10-12 21:34:27.077,143706.0,2.0,['sphinx'],,,,,,,,,,
94,pyenv,https://github.com/pyenv/pyenv,,Simple Python version management.,virtual-envs,26,True,pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2021-03-09 11:41:02.000,2021-03-09 11:41:02.000,1991.0,978.0,22699.0,2021-02-17 16:49:00.000,1.2.23,31.0,313.0,,pyenv,274.0,2481.0,1.0,,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,1.0,3015.0,3015.0,,,,2.0,,,,,,,,,,,
95,sqlmap,https://github.com/sqlmapproject/sqlmap,,Automatic SQL injection and database takeover tool.,security,26,True,sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,GPL-3.0,2012-06-26 09:52:15.000,2021-03-11 10:11:35.000,2021-03-11 10:11:29.000,4205.0,4196.0,19534.0,2021-02-01 20:35:09.000,1.5.2,65.0,104.0,,sqlmap,43.0,9734.0,8.0,,https://pypi.org/project/sqlmap,2021-03-03 22:08:16.000,8.0,2053.0,2053.0,,,,2.0,,,,,,,,,,,
96,pyinstrument,https://github.com/joerick/pyinstrument,,Call stack profiler for Python. Shows you why your code is slow!.,profiling,26,True,joerick/pyinstrument,https://github.com/joerick/pyinstrument,BSD-3-Clause,2014-03-13 17:53:13.000,2021-02-19 13:40:07.707,2021-02-19 09:59:41.000,97.0,55.0,2536.0,2021-02-19 09:56:50.000,3.4.1,28.0,23.0,conda-forge/pyinstrument,pyinstrument,20.0,417.0,361.0,225.0,https://pypi.org/project/pyinstrument,2021-02-19 09:56:50.000,136.0,54297.0,55481.0,https://anaconda.org/conda-forge/pyinstrument,2021-02-19 13:40:07.707,63952.0,2.0,,,,,,,,,,,
97,pudb,https://github.com/inducer/pudb,,Full-screen console debugger for Python.,debugging,26,True,inducer/pudb,https://github.com/inducer/pudb,MIT,2011-05-13 23:44:30.000,2021-03-09 10:43:34.000,2021-03-08 14:08:55.000,167.0,129.0,1981.0,2017-09-02 18:52:28.000,2017.1.4,68.0,69.0,conda-forge/pudb,pudb,138.0,,3673.0,2247.0,https://pypi.org/project/pudb,2020-12-21 04:20:59.000,1426.0,439719.0,441374.0,https://anaconda.org/conda-forge/pudb,2020-04-15 19:25:06.154,92685.0,2.0,,,-3.0,,,,,,,,
98,Diamond,https://github.com/python-diamond/Diamond,,Diamond is a python daemon that collects system metrics and publishes them to Graphite (and others). It is capable of..,profiling,26,False,python-diamond/Diamond,https://github.com/python-diamond/Diamond,MIT,2013-10-11 23:32:13.000,2020-12-28 06:55:11.000,2018-03-15 16:54:31.000,592.0,128.0,1610.0,2016-11-25 22:13:29.000,4.0.515,36.0,342.0,,diamond,226.0,3219.0,85.0,54.0,https://pypi.org/project/diamond,2016-11-25 22:13:29.000,31.0,16910.0,16910.0,,,,2.0,,,,,,,,,,,
99,flit,https://github.com/takluyver/flit,,Simplified packaging of Python modules.,build-tools,26,True,takluyver/flit,https://github.com/takluyver/flit,BSD-3-Clause,2015-03-13 21:22:27.000,2021-03-08 22:00:10.000,2021-03-01 15:35:08.000,67.0,150.0,1313.0,2021-03-01 15:37:10.000,3.1.0,39.0,41.0,conda-forge/flit,flit,85.0,851.0,226.0,,https://pypi.org/project/flit,2021-03-01 15:37:10.000,226.0,17719.0,19196.0,https://anaconda.org/conda-forge/flit,2021-03-02 09:06:49.794,72403.0,3.0,,,,,,,,,,,
100,pybuilder,https://github.com/pybuilder/pybuilder,,Software build automation tool for Python.,build-tools,26,True,pybuilder/pybuilder,https://github.com/pybuilder/pybuilder,Apache-2.0,2012-07-23 11:38:06.000,2021-03-11 10:48:07.000,2020-10-18 16:56:10.000,234.0,389.0,1290.0,2020-10-06 16:13:40.000,0.12.10,508.0,35.0,,pybuilder,87.0,1284.0,110.0,,https://pypi.org/project/pybuilder,2021-03-10 21:35:57.000,110.0,7327.0,7327.0,,,,3.0,,,,,,,,,,,
101,vulture,https://github.com/jendrikseipp/vulture,,Find dead Python code.,refactoring,26,True,jendrikseipp/vulture,https://github.com/jendrikseipp/vulture,MIT,2016-08-11 15:39:58.647,2021-01-21 15:53:38.000,2021-01-21 15:53:37.000,67.0,130.0,1204.0,2021-01-16 17:51:40.000,2.3,42.0,27.0,conda-forge/vulture,vulture,12.0,678.0,1217.0,857.0,https://pypi.org/project/vulture,2021-01-16 17:49:50.000,360.0,55164.0,55893.0,https://anaconda.org/conda-forge/vulture,2020-08-11 23:14:02.062,40119.0,2.0,,,,,,,,,,,
