,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,licnese
112,check-manifest,https://github.com/mgedmin/check-manifest,,Tool to check the completeness of MANIFEST.in for Python packages.,linters,25,True,mgedmin/check-manifest,https://github.com/mgedmin/check-manifest,MIT,2013-03-05 15:27:20.000,2021-01-04 16:36:49.618,2021-01-04 14:37:29.000,217.0,,,40.0,conda-forge/check-manifest,,check-manifest,29.0,14.0,69.0,515.0,5831.0,4027.0,18.0,https://pypi.org/project/check-manifest,2021-01-04 14:37:14.000,1804.0,106743.0,107451.0,https://anaconda.org/conda-forge/check-manifest,2021-01-04 16:36:49.618,17710.0,2.0,,,,,,,,
113,astunparse,https://github.com/simonpercivall/astunparse,,An AST unparser for Python.,ast,25,False,simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2020-09-29 18:11:33.000,2019-12-22 18:11:19.000,153.0,2019-12-22 18:12:11.000,1.6.3,11.0,conda-forge/astunparse,,astunparse,34.0,14.0,21.0,86.0,11098.0,10916.0,10.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,182.0,2121172.0,2122321.0,https://anaconda.org/conda-forge/astunparse,2019-01-22 10:00:56.794,49447.0,3.0,,,,,,,,
114,gdbgui,https://github.com/cs01/gdbgui,,"Browser-based frontend to gdb (gnu debugger). Add breakpoints, view the stack, visualize data structures, and more in..",debugging,24,True,cs01/gdbgui,https://github.com/cs01/gdbgui,GPL-3.0,2016-10-27 03:19:25.000,2020-12-21 03:07:33.000,2020-12-21 02:51:39.000,7767.0,2020-12-21 03:07:33.000,0.14.0.2,90.0,,,gdbgui,457.0,105.0,153.0,420.0,63.0,61.0,35.0,https://pypi.org/project/gdbgui,2020-12-21 02:53:00.000,2.0,10050.0,10376.0,,,,3.0,1958.0,,,,,,,
115,better-exceptions,https://github.com/Qix-/better-exceptions,,"Pretty and useful exceptions in Python, automatically.",logging,24,True,Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2021-01-02 12:26:41.000,2021-01-02 12:26:40.000,3833.0,2020-12-24 08:34:45.000,0.3.2,15.0,,,better-exceptions,193.0,29.0,40.0,96.0,74.0,,14.0,https://pypi.org/project/better-exceptions,2020-12-24 08:34:45.000,74.0,22220.0,22220.0,,,,3.0,,,,,,,,
116,Bowler,https://github.com/facebookincubator/Bowler,,Safe code refactoring for modern Python.,refactoring,24,True,facebookincubator/Bowler,https://github.com/facebookincubator/Bowler,MIT,2018-06-07 21:44:17.000,2020-11-05 21:21:11.000,2020-11-05 21:21:09.000,1236.0,2020-09-17 01:55:39.000,0.9.0,8.0,conda-forge/bowler,,bowler,85.0,43.0,33.0,177.0,10.0,,26.0,https://pypi.org/project/bowler,2020-09-17 01:55:39.000,10.0,35081.0,35410.0,https://anaconda.org/conda-forge/bowler,2019-06-12 18:37:14.246,8567.0,2.0,,,,,,,,
117,stackprinter,https://github.com/cknd/stackprinter,,Debugging-friendly exceptions for Python.,logging,24,True,cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000,2021-01-02 06:03:14.000,2021-01-01 18:48:26.000,1118.0,2020-10-31 13:10:42.000,0.2.5,14.0,,,stackprinter,31.0,9.0,12.0,159.0,40.0,36.0,6.0,https://pypi.org/project/stackprinter,2020-10-31 13:06:59.000,4.0,60855.0,60855.0,,,,3.0,,,,,,,,
118,scons,https://github.com/SCons/scons,,SCons - a software construction tool.,build-tools,24,False,SCons/scons,https://github.com/SCons/scons,,2017-03-23 22:12:34.579,2021-01-09 03:32:37.000,2021-01-09 03:32:36.000,1039.0,2019-08-08 15:19:16.000,3.1.2,14.0,conda-forge/scons,,scons,208.0,664.0,2606.0,6803.0,50.0,,129.0,https://pypi.org/project/scons,2019-12-17 02:49:51.000,50.0,93398.0,96405.0,https://anaconda.org/conda-forge/scons,2021-01-08 12:12:21.963,137643.0,3.0,339.0,,,,,,,MIT
119,asv,https://github.com/airspeed-velocity/asv,,Airspeed Velocity: A simple Python benchmarking tool with web-based reporting.,testing,24,True,airspeed-velocity/asv,https://github.com/airspeed-velocity/asv,BSD-3-Clause,2013-11-07 20:43:31.000,2020-12-22 14:28:14.000,2020-12-22 14:28:12.000,546.0,2020-05-16 12:35:26.000,0.4.2,16.0,conda-forge/asv,,asv,121.0,100.0,296.0,1887.0,161.0,117.0,53.0,https://pypi.org/project/asv,2020-05-16 12:33:41.000,44.0,4982.0,10468.0,https://anaconda.org/conda-forge/asv,2020-12-11 12:30:25.113,263352.0,3.0,,,,,,,,
120,mypy-protobuf,https://github.com/dropbox/mypy-protobuf,,open source tools to generate mypy stubs from protobufs.,linters,24,True,dropbox/mypy-protobuf,https://github.com/dropbox/mypy-protobuf,Apache-2.0,2017-12-11 21:55:05.000,2021-01-03 02:37:16.000,2020-12-28 17:25:33.000,298.0,,,23.0,,,mypy-protobuf,51.0,14.0,49.0,195.0,195.0,171.0,25.0,https://pypi.org/project/mypy-protobuf,2020-06-18 21:38:10.000,24.0,213592.0,213592.0,,,,3.0,,,,,,,,
121,pytest-randomly,https://github.com/pytest-dev/pytest-randomly,,Pytest plugin to randomly order tests and control random.seed.,testing,24,True,pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2021-01-04 16:54:08.000,2021-01-04 16:54:07.000,261.0,2020-11-16 10:02:15.000,3.5.0,20.0,,,pytest-randomly,21.0,6.0,27.0,322.0,107.0,,14.0,https://pypi.org/project/pytest-randomly,2020-11-16 10:02:15.000,107.0,246664.0,246664.0,,,,3.0,,,,,,,,
122,darglint,https://github.com/terrencepreilly/darglint,,A python documentation linter which checks that the docstring description matches the definition.,linters,24,True,terrencepreilly/darglint,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2021-01-09 01:51:30.000,2020-11-24 02:29:06.000,253.0,2020-11-24 02:49:27.000,1.5.8,45.0,conda-forge/darglint,,darglint,21.0,35.0,81.0,454.0,264.0,244.0,17.0,https://pypi.org/project/darglint,2020-11-24 02:49:27.000,20.0,43118.0,43558.0,https://anaconda.org/conda-forge/darglint,2020-11-24 05:07:32.192,7047.0,3.0,,,,,,,,
