,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
197,flake8-mypy,https://github.com/ambv/flake8-mypy,,A plugin for flake8 integrating Mypy.,linters,20,False,ambv/flake8-mypy,https://github.com/ambv/flake8-mypy,MIT,2017-02-26 02:27:33.000000,2020-06-19 16:51:36.000000,2020-06-19 16:51:00.000000,15.0,3.0,103.0,2017-08-31 23:17:01.000000,17.8.0,6.0,8.0,19.0,['flake8'],,flake8-mypy,50.0,941.0,743.0,https://pypi.org/project/flake8-mypy,2017-08-31 23:17:01.000000,198.0,40095.0,40095.0,,,,3.0,,,,,,,,,,,,,,,
198,memory_profiler,https://github.com/fabianp/memory_profiler,,Monitor Memory usage of Python code.,profiling,20,False,fabianp/memory_profiler,https://github.com/fabianp/memory_profiler,BSD-3-Clause,2016-05-26 17:45:08.632000,2020-10-20 18:00:58.207000,2018-06-28 13:35:12.000000,11.0,,65.0,2018-08-16 03:16:49.000000,0.54.0,52.0,61.0,,,conda-forge/memory_profiler,memory_profiler,500.0,534.0,,https://pypi.org/project/memory_profiler,2018-08-16 03:16:49.000000,534.0,,2062.0,https://anaconda.org/conda-forge/memory_profiler,2020-10-20 18:00:58.207000,132001.0,3.0,,,,,,,,,,,,,,,
199,flake8-bandit,https://github.com/tylerwince/flake8-bandit,,Automated security testing using bandit and flake8.,linters,20,False,tylerwince/flake8-bandit,https://github.com/tylerwince/flake8-bandit,MIT,2017-10-28 23:19:09.000000,2020-12-29 20:50:06.000000,2020-08-29 05:51:08.000000,15.0,8.0,63.0,2019-10-08 03:58:31.000000,2.1.2,11.0,5.0,4.0,['flake8'],,flake8-bandit,44.0,156.0,,https://pypi.org/project/flake8-bandit,2019-10-08 03:58:31.000000,156.0,452083.0,452083.0,,,,3.0,,,,,,,,,,,,,,,
200,pylint-flask,https://github.com/jschaf/pylint-flask,,A Pylint plugin to analyze Flask applications.,linters,20,True,jschaf/pylint-flask,https://github.com/jschaf/pylint-flask,GPL-2.0,2015-06-27 20:11:12.000000,2021-03-10 19:35:23.000000,2021-03-10 19:35:23.000000,9.0,5.0,59.0,,,5.0,7.0,4.0,['pylint'],conda-forge/pylint-flask,pylint-flask,40.0,6044.0,5338.0,https://pypi.org/project/pylint-flask,2019-01-30 19:26:02.000000,706.0,175431.0,176287.0,https://anaconda.org/conda-forge/pylint-flask,2019-02-02 18:28:49.934000,52219.0,3.0,,,,,,,,,,,,,,,
201,better-exceptions,https://github.com/Qix-/better-exceptions,,"Pretty and useful exceptions in Python, automatically.",logging,19,True,Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000000,2021-08-24 16:15:42.000000,2021-08-24 16:15:42.000000,195.0,41.0,4024.0,2021-01-29 16:48:55.000000,0.3.3,16.0,15.0,29.0,,,better-exceptions,98.0,74.0,,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55.000000,74.0,,,,,,3.0,,,,,,,,,,,,,,,
202,vprof,https://github.com/nvdv/vprof,,Visual profiler for Python.,profiling,19,True,nvdv/vprof,https://github.com/nvdv/vprof,BSD-2-Clause,2015-06-29 03:59:39.000000,2021-02-20 07:50:28.000000,2021-02-20 07:47:40.000000,165.0,56.0,3771.0,2018-06-24 14:16:36.000000,0.37.6,24.0,17.0,24.0,,,vprof,619.0,97.0,79.0,https://pypi.org/project/vprof,2020-02-29 13:31:59.000000,18.0,,,,,,3.0,,,,,,,,,,,,,,,
203,Birdseye,https://github.com/alexmojaki/birdseye,,Graphical Python debugger which lets you easily view the values of all evaluated expressions.,debugging,19,True,alexmojaki/birdseye,https://github.com/alexmojaki/birdseye,MIT,2017-07-22 18:49:20.000000,2021-08-01 14:18:37.000000,2021-08-01 14:14:35.000000,68.0,32.0,1418.0,2021-07-03 11:54:41.000000,0.9.1,37.0,10.0,18.0,,,birdseye,409.0,0.0,,https://pypi.org/project/birdseye,2021-08-01 14:18:37.000000,0.0,828.0,828.0,,,,3.0,,,,,,,,,,,,,,,
204,pyflow,https://github.com/David-OConnor/pyflow,,An installation and dependency system for Python.,dependency-managers,19,True,David-OConnor/pyflow,https://github.com/David-OConnor/pyflow,MIT,2019-07-15 09:40:29.000000,2021-07-13 14:36:24.000000,2021-07-13 14:36:24.000000,31.0,66.0,897.0,2021-07-02 13:17:04.000000,0.3.1,26.0,24.0,43.0,,,pyflow,333.0,0.0,,https://pypi.org/project/pyflow,2021-07-02 13:17:04.000000,0.0,180.0,317.0,,,,3.0,3428.0,,,,,,,,,,,,,,
205,pyheat,https://github.com/csurfer/pyheat,,pprofile + matplotlib = Python program profiled as an awesome heatmap!.,profiling,19,True,csurfer/pyheat,https://github.com/csurfer/pyheat,MIT,2017-02-04 22:56:02.000000,2021-09-18 20:16:24.000000,2021-09-18 20:16:24.000000,29.0,9.0,511.0,2018-12-06 03:59:34.000000,0.0.6,6.0,5.0,3.0,,,py-heat,55.0,39.0,29.0,https://pypi.org/project/py-heat,2018-12-06 03:59:34.000000,10.0,1124.0,1124.0,,,,3.0,,,,,,,2.0,,,,,,,,
206,vex,https://github.com/sashahart/vex,,Run a command in the named virtualenv.,virtual-envs,19,False,sashahart/vex,https://github.com/sashahart/vex,MIT,2014-05-09 03:20:02.000000,2021-01-19 19:03:16.000000,2019-05-10 19:18:48.000000,23.0,38.0,371.0,2019-05-10 19:21:38.000000,0.0.19,18.0,3.0,3.0,,,vex,200.0,37.0,21.0,https://pypi.org/project/vex,2019-05-10 19:21:38.000000,16.0,1140.0,1140.0,,,,3.0,,,,,,,,,,,,,,,
