,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
30,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-09-14 12:55:27.000,2023-09-13 11:10:12,1918.0,128.0,390.0,70.0,1327.0,152.0,848.0,1597.0,2023-09-13 11:09:57.000,1.31.0,109.0,190.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,49128.0,49128.0,https://pypi.org/project/sentry-sdk,21649379.0,21664882.0,https://anaconda.org/conda-forge/sentry-sdk,2023-09-13 14:04:23.642,601371.0,1.0,3277.0,,,,,,,,,,,,,,,,,,
31,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-09-13 15:55:08.000,2023-09-11 15:09:13,763.0,47.0,624.0,131.0,145.0,102.0,736.0,15875.0,2023-09-11 15:25:24.000,0.7.2,21.0,49.0,38,True,,loguru,conda-forge/loguru,,61792.0,61792.0,https://pypi.org/project/loguru,7541384.0,7581826.0,https://anaconda.org/conda-forge/loguru,2023-09-11 19:04:36.922,1617713.0,2.0,,,,,,,,,,,,,,,,,,,
32,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-08-01 13:39:11.480,2023-07-28 22:57:34,8386.0,24.0,483.0,114.0,583.0,46.0,1318.0,5498.0,,,22.0,165.0,38,False,,jedi,conda-forge/jedi,,343447.0,343447.0,https://pypi.org/project/jedi,29349404.0,29823612.0,https://anaconda.org/conda-forge/jedi,2023-08-01 13:39:11.480,18494148.0,1.0,,,,,,,,,,,,,,,,,,,
33,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,MIT,2009-10-02 00:43:37.000,2023-08-15 06:26:15.000,2023-08-01 13:37:48,1429.0,64.0,740.0,118.0,488.0,110.0,611.0,4900.0,2023-07-29 17:19:52.000,2.11.0,18.0,132.0,38,True,,pycodestyle,conda-forge/pycodestyle,,11602.0,13.0,https://pypi.org/project/pycodestyle,31844856.0,32075057.0,https://anaconda.org/conda-forge/pycodestyle,2023-07-30 14:00:03.599,6906048.0,1.0,,2023-07-29 17:19:52.000,11589.0,,,,,,7.0,,,,,,,,,,
34,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-08-27 14:12:45.000,2023-08-27 14:12:45,2833.0,14.0,298.0,72.0,229.0,122.0,360.0,4415.0,2023-08-26 13:59:08.000,2.0.4,75.0,59.0,38,True,,autopep8,conda-forge/autopep8,,195405.0,189497.0,https://pypi.org/project/autopep8,3637277.0,3670029.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1277361.0,3.0,,2023-08-26 13:49:56.000,5908.0,,,,,,,,,,,,,,,,
35,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-09-13 01:24:38.000,2023-09-13 01:24:13,6576.0,322.0,1083.0,110.0,771.0,8.0,4490.0,10829.0,2023-09-13 01:29:46.000,1.1.327,100.0,97.0,37,True,,,,,608.0,608.0,,,656632.0,,,,2.0,872.0,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,656584.0,,,,,,,
36,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-09-12 13:27:49.000,2023-09-12 13:27:47,2413.0,33.0,283.0,38.0,339.0,25.0,1504.0,2993.0,,,30.0,172.0,37,False,,flake8,conda-forge/flake8,,487511.0,487511.0,https://pypi.org/project/flake8,23263269.0,23430030.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6670446.0,1.0,,,,,,,,,,,,,,,,,,,
37,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2023-07-31 23:20:09.000,2023-07-31 23:20:08,562.0,3.0,174.0,29.0,295.0,56.0,455.0,1291.0,2023-07-29 17:00:40.000,3.1.0,37.0,84.0,37,True,,pyflakes,conda-forge/pyflakes,,257376.0,243592.0,https://pypi.org/project/pyflakes,24502509.0,24724847.0,https://anaconda.org/conda-forge/pyflakes,2023-07-29 18:48:34.199,6670147.0,1.0,,2023-07-29 17:00:40.000,13784.0,,,,,,,,,,,,,,,,
38,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2023-09-14 04:55:45.000,2023-09-09 14:48:08,5161.0,97.0,1393.0,502.0,752.0,209.0,1484.0,23484.0,2023-05-18 15:52:21.000,3.4.0.2,96.0,175.0,36,True,,glances,conda-forge/glances,,764.0,713.0,https://pypi.org/project/glances,153123.0,155420.0,https://anaconda.org/conda-forge/glances,2023-06-05 20:53:05.651,205426.0,1.0,1538.0,2022-05-26 08:29:00.000,51.0,,,,,,,,,,,,,,,,
39,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2023-08-29 23:13:35.000,2023-06-07 11:16:23,408.0,,1080.0,187.0,156.0,455.0,225.0,8593.0,2023-05-24 20:13:07.561,0.9.54,51.0,52.0,36,True,,pyautogui,conda-forge/pyautogui,,27587.0,26794.0,https://pypi.org/project/pyautogui,653948.0,656900.0,https://anaconda.org/conda-forge/pyautogui,2023-06-12 20:13:48.004,206695.0,1.0,,2021-07-07 17:05:04.000,793.0,,,,,,,,,,,,,,,,
