,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
30,pyright,Microsoft/pyright,linters,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-04-27 07:13:33.000,2023-04-27 02:38:43,6048.0,340.0,993.0,100.0,557.0,13.0,3933.0,10164.0,2023-04-26 05:06:44.000,1.1.305,389.0,92.0,37,True,,,,503.0,493.0,,,,,513092.0,,,,1.0,246.0,,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-04-26 04:59:47.336,10.0,513076.0,,,,,,
31,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-04-21 21:55:14.000,2023-04-21 21:55:14,8352.0,25.0,476.0,114.0,577.0,49.0,1297.0,5401.0,,,21.0,163.0,37,False,jedi,conda-forge/jedi,,294753.0,294753.0,https://pypi.org/project/jedi,,,18770439.0,18973062.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,15804616.0,1.0,,,,,,,,,,,,,,,,,,
32,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-04-27 11:00:25.000,2023-04-18 15:21:07,1305.0,15.0,514.0,67.0,375.0,159.0,446.0,5147.0,2023-03-10 01:02:04.000,1.7.5,12.0,166.0,37,True,bandit,conda-forge/bandit,,40802.0,40802.0,https://pypi.org/project/bandit,,,3111596.0,3116415.0,https://anaconda.org/conda-forge/bandit,2023-03-11 07:26:25.891,226015.0,1.0,660.0,,,,,,,,,,,,,,,,,
33,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-03-19 12:06:00.000,2023-03-19 12:05:58,2819.0,9.0,280.0,72.0,219.0,110.0,353.0,4331.0,2023-03-03 09:22:25.000,2.0.2,23.0,57.0,37,True,autopep8,conda-forge/autopep8,,173515.0,173515.0,https://pypi.org/project/autopep8,,,3340477.0,3353957.0,https://anaconda.org/conda-forge/autopep8,2023-03-03 12:11:53.143,1105406.0,2.0,,,,,,,,,,,,,,,,,,
34,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-04-25 10:54:33.000,2023-04-25 10:54:32,2370.0,15.0,270.0,36.0,310.0,25.0,1483.0,2794.0,,,29.0,172.0,37,False,flake8,conda-forge/flake8,,447226.0,447226.0,https://pypi.org/project/flake8,,,23146898.0,23220454.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,6031616.0,1.0,,,,,,,,,,,,,,,,,,
35,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-04-23 11:40:58.000,2023-04-13 03:58:34,643.0,11.0,219.0,26.0,375.0,77.0,250.0,488.0,2023-04-12 16:11:39.000,23.1,42.0,88.0,37,True,packaging,conda-forge/packaging,,705352.0,686558.0,https://pypi.org/project/packaging,2023-01-09 21:11:31.536,18794.0,152878175.0,153252419.0,https://anaconda.org/conda-forge/packaging,2023-04-12 22:06:30.481,30686772.0,1.0,703.0,,,,,,,,,,,,,,,,,
36,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,,2011-12-04 08:49:15.000,2023-04-26 15:04:45.000,2023-04-26 15:04:29,4742.0,159.0,1353.0,497.0,643.0,201.0,1431.0,22695.0,2023-01-14 15:00:47.000,3.3.1,31.0,171.0,36,False,glances,conda-forge/glances,,635.0,635.0,https://pypi.org/project/glances,,,193568.0,195820.0,https://anaconda.org/conda-forge/glances,2023-01-17 20:09:23.663,190416.0,1.0,1198.0,,,,,,,,,,,,,,,,,
37,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-04-27 06:53:41.000,2023-04-25 05:52:41,10804.0,412.0,462.0,128.0,299.0,214.0,1601.0,8684.0,,,161.0,135.0,36,True,nuitka,conda-forge/nuitka,,1171.0,1171.0,https://pypi.org/project/nuitka,,,66296.0,72089.0,https://anaconda.org/conda-forge/nuitka,2023-04-26 10:38:26.081,486618.0,2.0,,,,,,,,,,,,,,,,,,
38,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-04-25 01:11:34.000,2023-04-25 01:11:34,23615.0,199.0,1461.0,204.0,5327.0,672.0,798.0,5028.0,2023-04-17 01:18:25.000,3.8.0,58.0,838.0,36,True,buildbot,conda-forge/buildbot,,321.0,321.0,https://pypi.org/project/buildbot,,,32883.0,35128.0,https://anaconda.org/conda-forge/buildbot,2023-04-17 03:32:51.191,77840.0,2.0,30028.0,,,,,,,,,,,,,,,,,
39,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2023-04-27 10:33:09.000,2023-04-27 10:33:09,1077.0,3.0,294.0,34.0,528.0,46.0,408.0,1408.0,2022-12-01 01:51:31.000,4.0.2,52.0,114.0,36,True,twine,conda-forge/twine,,102884.0,88364.0,https://pypi.org/project/twine,2022-12-01 01:49:17.129,14520.0,4026714.0,4035919.0,https://anaconda.org/conda-forge/twine,2022-12-01 12:45:16.522,736439.0,2.0,,,,,,,,,,,,,,,,,,
