,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,labels,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,conda_forge,updated_github_id
10,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2021-09-15 01:36:19.000000,2021-09-14 02:23:11.000000,1442.0,1342.0,22392.0,2021-09-14 02:24:50.000000,21.9b0,33.0,269.0,324.0,conda-forge/black,black,,87979.0,81751.0,https://pypi.org/project/black,2021-09-14 02:25:24.000000,6228.0,8277704.0,8329940.0,https://anaconda.org/conda-forge/black,2021-09-14 05:32:53.068000,2067707.0,1.0,,16346.0,,,,,,,,,,,,,,
11,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,34,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2021-09-14 22:50:03.000000,2021-09-08 09:39:46.000000,1768.0,3435.0,6276.0,2021-09-08 10:04:10.000000,4.1.1,66.0,146.0,213.0,conda-forge/robotframework,robotframework,13011.0,5604.0,4196.0,https://pypi.org/project/robotframework,2021-09-08 09:35:35.000000,1408.0,811808.0,813209.0,https://anaconda.org/conda-forge/robotframework,2021-09-08 13:23:20.938000,61384.0,1.0,,514.0,,,,,,1.0,,,,,,,,
12,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,34,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000000,2021-08-15 12:15:32.000000,2021-08-15 12:15:32.000000,244.0,335.0,3883.0,2021-04-30 06:09:29.000000,1.5.7,67.0,51.0,88.0,conda-forge/autopep8,autopep8,2717.0,99103.0,88919.0,https://pypi.org/project/autopep8,2021-04-30 06:04:42.000000,10184.0,2172674.0,2181121.0,https://anaconda.org/conda-forge/autopep8,2021-04-30 08:34:16.877000,532202.0,1.0,,,,,,,,,,,,,,,,
13,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2021-09-14 15:25:28.000000,2021-09-12 16:00:10.000000,760.0,1269.0,1431.0,2021-09-09 02:03:22.000000,58.0.4,440.0,458.0,556.0,conda-forge/setuptools,setuptools,,173816.0,115886.0,https://pypi.org/project/setuptools,2021-09-09 02:03:12.000000,57930.0,128705425.0,129119871.0,https://anaconda.org/conda-forge/setuptools,2021-09-09 21:17:22.437000,25695618.0,1.0,,110.0,,,,,,,,,,,,,,
14,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,33,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000000,2021-09-16 10:37:31.000000,2021-09-16 08:25:13.000000,896.0,508.0,28757.0,2021-08-29 14:57:02.000000,10.9.0,133.0,112.0,17.0,conda-forge/rich,rich,2257.0,6780.0,6780.0,https://pypi.org/project/rich,2021-08-29 14:54:53.000000,0.0,2158208.0,2184490.0,https://anaconda.org/conda-forge/rich,2021-08-29 18:15:59.865000,367959.0,1.0,,,,,,,,,,,,,,,,
15,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,33,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000000,2021-09-15 18:53:54.000000,2021-09-13 22:30:52.000000,1319.0,2074.0,16314.0,2021-08-19 17:05:23.000000,1.1.8,138.0,284.0,1232.0,conda-forge/poetry,poetry,1866.0,64.0,,https://pypi.org/project/poetry,2021-08-19 17:05:23.000000,64.0,3187403.0,3390462.0,https://anaconda.org/conda-forge/poetry,2021-08-30 22:37:02.280000,252759.0,1.0,,8216255.0,,,,,,1.0,,,,,,,,
16,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,33,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-09-10 16:08:02.000000,2021-09-10 16:08:02.000000,1824.0,1465.0,12796.0,2021-07-18 19:32:00.000000,1.2.2,47.0,198.0,109.0,conda-forge/mkdocs,mkdocs,1576.0,20711.0,14769.0,https://pypi.org/project/mkdocs,2021-07-18 19:20:49.000000,5942.0,,2303.0,https://anaconda.org/conda-forge/mkdocs,2021-07-18 21:27:59.884000,149705.0,1.0,,,,,,,['mkdocs'],,,,,,,,,
17,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,33,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-09-14 11:05:10.000000,2021-09-13 21:48:26.000000,1800.0,3945.0,7751.0,2021-08-30 17:39:28.000000,6.2.5,148.0,741.0,714.0,conda-forge/pytest,pytest,,502473.0,371889.0,https://pypi.org/project/pytest,2021-08-30 17:39:00.000000,130584.0,,150359.0,https://anaconda.org/conda-forge/pytest,2021-08-31 02:25:39.479000,9322295.0,1.0,,,,,,,['pytest'],,,,,,,,,
18,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,Technical documentation that just works.,documentation,33,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000000,2021-09-15 07:43:50.000000,2021-09-15 07:42:47.000000,1791.0,1099.0,7482.0,2021-09-01 19:41:43.000000,7.2.6,212.0,128.0,15.0,conda-forge/mkdocs-material,mkdocs-material,3555.0,10039.0,8537.0,https://pypi.org/project/mkdocs-material,2021-09-01 19:41:43.000000,1502.0,545884.0,548114.0,https://anaconda.org/conda-forge/mkdocs-material,2021-09-02 00:45:20.240000,62448.0,1.0,,,,,,,['mkdocs'],,,,,,,,,
19,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000000,2021-09-16 13:45:31.000000,2021-09-16 00:48:55.000000,471.0,1099.0,5369.0,2021-09-16 00:49:14.000000,hypothesis-python-6.21.4,876.0,251.0,58.0,conda-forge/hypothesis,hypothesis,10992.0,12442.0,9826.0,https://pypi.org/project/hypothesis,2021-09-16 00:48:59.000000,2616.0,1797711.0,1873434.0,https://anaconda.org/conda-forge/hypothesis,2021-09-16 04:25:38.986000,4694852.0,1.0,,,,,,,,,,,,,,,,
