,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
30,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-08-01 13:39:11.480,2023-07-28 22:57:34,8386.0,24.0,483.0,114.0,583.0,45.0,1318.0,5489.0,,,22.0,165.0,38,False,,jedi,conda-forge/jedi,,338918.0,338918.0,https://pypi.org/project/jedi,28221115.0,28699068.0,https://anaconda.org/conda-forge/jedi,2023-08-01 13:39:11.480,18162226.0,1.0,,,,,,,,,,,,,,,,,
31,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-08-27 02:47:59.000,2023-08-18 03:18:51,1319.0,10.0,533.0,66.0,390.0,163.0,455.0,5415.0,2023-03-10 01:02:04.000,1.7.5,12.0,172.0,38,True,,bandit,conda-forge/bandit,,43633.0,43633.0,https://pypi.org/project/bandit,3318357.0,3323438.0,https://anaconda.org/conda-forge/bandit,2023-06-16 16:15:12.910,258565.0,1.0,,,725.0,,,,,,,,,,,,,,
32,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,MIT,2009-10-02 00:43:37.000,2023-08-15 06:26:15.000,2023-08-01 13:37:48,1429.0,72.0,740.0,118.0,488.0,110.0,611.0,4889.0,2023-07-29 17:19:52.000,2.11.0,18.0,132.0,38,True,,pycodestyle,conda-forge/pycodestyle,,11587.0,11.0,https://pypi.org/project/pycodestyle,31881497.0,32117310.0,https://anaconda.org/conda-forge/pycodestyle,2023-07-30 14:00:03.599,6838580.0,1.0,2023-07-29 17:19:52.000,11576.0,,,,,,,,,,,,,,,
33,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-08-31 09:08:43.000,2023-08-29 23:16:22,1470.0,17.0,1751.0,164.0,701.0,245.0,615.0,4443.0,2023-08-21 18:28:32.000,1.3.0,49.0,115.0,38,True,,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],7493.0,16.0,https://pypi.org/project/sphinx_rtd_theme,4596777.0,4689608.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-08-22 09:02:27.150,3527610.0,2.0,2023-08-29 23:14:50.000,7477.0,,,,,,,,,,,,,,,
34,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-08-27 14:12:45.000,2023-08-27 14:12:45,2833.0,14.0,298.0,72.0,229.0,122.0,360.0,4409.0,2023-08-26 13:59:08.000,2.0.4,75.0,59.0,38,True,,autopep8,conda-forge/autopep8,,194208.0,188303.0,https://pypi.org/project/autopep8,3446104.0,3479243.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1259297.0,3.0,2023-08-26 13:49:56.000,5905.0,,,,,,,,,,,,,,,
35,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-08-31 13:06:12.000,2023-08-31 13:06:05,735.0,19.0,626.0,131.0,130.0,111.0,717.0,15767.0,2023-04-10 09:14:19.000,0.7.0,19.0,47.0,37,True,,loguru,conda-forge/loguru,,63345.0,60734.0,https://pypi.org/project/loguru,7631365.0,7660578.0,https://anaconda.org/conda-forge/loguru,2023-06-16 16:13:46.735,1577535.0,2.0,2023-04-10 09:07:15.493,2611.0,,,,,,,,,,,,,,,
36,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-08-31 03:38:19.000,2023-08-31 03:38:14,6538.0,343.0,1076.0,110.0,759.0,5.0,4442.0,10778.0,2023-08-30 02:41:42.000,1.1.325,100.0,97.0,37,True,,,,,599.0,599.0,,,661214.0,,,,2.0,,,806.0,,,,,,pyright,https://www.npmjs.com/package/pyright,661167.0,,,,,,
37,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-08-31 06:51:58.000,2023-08-30 23:36:54,11348.0,439.0,506.0,130.0,322.0,134.0,1794.0,9577.0,,,179.0,152.0,37,True,,nuitka,conda-forge/nuitka,,1429.0,1429.0,https://pypi.org/project/nuitka,76966.0,91493.0,https://anaconda.org/conda-forge/nuitka,2023-08-14 12:17:51.246,566584.0,1.0,,,,,,,,,,,,,,,,,
38,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2023-07-31 23:20:09.000,2023-07-31 23:20:08,562.0,6.0,174.0,29.0,295.0,56.0,453.0,1290.0,2023-07-29 17:00:40.000,3.1.0,37.0,84.0,37,True,,pyflakes,conda-forge/pyflakes,,255288.0,241512.0,https://pypi.org/project/pyflakes,24164222.0,24391991.0,https://anaconda.org/conda-forge/pyflakes,2023-07-29 18:48:34.199,6605322.0,2.0,2023-07-29 17:00:40.000,13776.0,,,,,,,,,,,,,,,
39,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-08-28 16:52:26.000,2023-08-19 00:09:37,658.0,13.0,232.0,28.0,388.0,76.0,260.0,519.0,2023-04-12 16:11:39.000,23.1,42.0,95.0,37,True,,packaging,conda-forge/packaging,,861594.0,842397.0,https://pypi.org/project/packaging,162373397.0,162809529.0,https://anaconda.org/conda-forge/packaging,2023-06-16 13:17:40.629,37506071.0,1.0,2023-04-12 16:13:15.470,19197.0,738.0,,,,,,,,,,,,,,
