,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_forge
30,virtualenv,https://github.com/pypa/virtualenv,,Virtual Python Environment builder.,virtual-envs,32,True,pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000000,2021-12-29 11:41:18.000000,2021-12-29 11:41:18.000000,921.0,1123.0,4026.0,2021-12-29 11:38:00.000000,20.11.2,176.0,221.0,64.0,virtualenv,conda-forge/virtualenv,,34422.0,,https://pypi.org/project/virtualenv,2021-12-29 11:38:00.000000,34422.0,21516812.0,21541060.0,https://anaconda.org/conda-forge/virtualenv,2021-11-02 07:32:46.596000,1382139.0,2.0,,,,,,,,,,,,,,,,
31,bandit,https://github.com/PyCQA/bandit,,Bandit is a tool designed to find common security issues in Python code.,security,32,True,PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000000,2021-12-22 04:34:32.000000,2021-11-13 01:35:32.000000,385.0,372.0,3776.0,2021-11-12 12:25:41.000000,1.7.1,32.0,137.0,187.0,bandit,conda-forge/bandit,1181.0,12362.0,10008.0,https://pypi.org/project/bandit,2021-11-12 12:25:41.000000,2354.0,1788972.0,1792251.0,https://anaconda.org/conda-forge/bandit,2021-11-13 09:57:40.313000,101577.0,1.0,,,,127.0,,,,,,,,,,,,
32,invoke,https://github.com/pyinvoke/invoke,,Pythonic task management & command execution.,build-tools,32,True,pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000000,2021-12-15 13:50:39.978000,2021-10-16 04:43:50.000000,296.0,364.0,3470.0,2021-07-09 21:42:28.000000,1.6.0,54.0,56.0,336.0,invoke,conda-forge/invoke,3523.0,14435.0,9833.0,https://pypi.org/project/invoke,2021-12-15 13:50:39.978000,4602.0,1979048.0,1986218.0,https://anaconda.org/conda-forge/invoke,2021-07-10 12:55:00.642000,487614.0,1.0,,,,,,,,,,,,,,,,
33,nose,https://github.com/nose-devs/nose,,nose is nicer testing for python.,testing,32,False,nose-devs/nose,https://github.com/nose-devs/nose,LGPL-2.1+,2011-12-13 19:36:32.000000,2021-10-25 05:23:45.000000,2016-03-04 01:16:26.000000,365.0,462.0,1344.0,2015-06-02 09:12:36.000000,1.3.7,14.0,95.0,447.0,nose,conda-forge/nose,1004.0,205133.0,118659.0,https://pypi.org/project/nose,2015-06-02 09:12:36.000000,86474.0,3955790.0,3985649.0,https://anaconda.org/conda-forge/nose,2020-10-11 16:52:20.277000,2000588.0,2.0,,,,,,,,,,,,,,,,
34,rope,https://github.com/python-rope/rope,,a python refactoring library.,refactoring,32,True,python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000000,2021-12-20 03:34:57.000000,2021-12-20 03:34:42.000000,149.0,162.0,1251.0,2021-11-22 15:09:58.000000,0.22.0,69.0,68.0,72.0,rope,conda-forge/rope,2285.0,36615.0,33683.0,https://pypi.org/project/rope,2021-12-15 13:42:34.748000,2932.0,522473.0,533374.0,https://anaconda.org/conda-forge/rope,2021-11-22 17:32:33.372000,610463.0,1.0,,,,,,,,,,,,,,,,
35,python-json-logger,https://github.com/madzak/python-json-logger,,Json Formatter for the standard python logger.,logging,32,True,madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000000,2021-07-27 23:18:51.000000,2021-07-27 23:18:45.000000,166.0,46.0,1147.0,2021-07-27 23:09:33.000000,2.0.2,22.0,46.0,24.0,python-json-logger,conda-forge/python-json-logger,196.0,20146.0,19228.0,https://pypi.org/project/python-json-logger,2021-07-27 23:09:33.000000,918.0,4257804.0,4276279.0,https://anaconda.org/conda-forge/python-json-logger,2020-10-12 23:31:31.855000,1034602.0,2.0,,,,,,,,,,,,,,,,
36,parso,https://github.com/davidhalter/parso,,A Python Parser.,linters,32,True,davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000000,2021-12-01 05:04:36.494000,2021-11-30 21:03:35.000000,77.0,96.0,466.0,2021-11-30 21:05:47.000000,0.8.3,26.0,43.0,7.0,parso,conda-forge/parso,1096.0,179040.0,167676.0,https://pypi.org/project/parso,2021-11-30 21:05:47.000000,11364.0,16796982.0,16920731.0,https://anaconda.org/conda-forge/parso,2021-12-01 05:04:36.494000,5939992.0,1.0,,,,,,,,,,,,,,,,
37,loguru,https://github.com/Delgan/loguru,,Python logging made (stupidly) simple.,logging,31,True,Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000000,2021-12-17 14:54:11.000000,2021-09-09 07:14:10.000000,466.0,413.0,10671.0,2020-09-20 07:56:32.000000,0.5.3,17.0,30.0,92.0,loguru,conda-forge/loguru,562.0,13286.0,12944.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000000,342.0,1949739.0,1959611.0,https://anaconda.org/conda-forge/loguru,2021-11-02 13:32:36.476000,335649.0,2.0,,,,,,,,,,,,,,,,
38,pyautogui,https://github.com/asweigart/pyautogui,,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,testing,31,True,asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000000,2021-12-30 05:10:42.000000,2021-09-14 17:41:07.000000,794.0,197.0,6036.0,2021-07-07 17:05:04.000000,0.9.53,50.0,51.0,342.0,pyautogui,conda-forge/pyautogui,402.0,12581.0,11973.0,https://pypi.org/project/pyautogui,2021-07-07 17:05:04.000000,608.0,464996.0,467866.0,https://anaconda.org/conda-forge/pyautogui,2021-11-11 10:15:02.687000,140638.0,2.0,,,,,,,,,,,,,,,,
39,buildbot,https://github.com/buildbot/buildbot,,Python-based continuous integration testing framework; your pull requests are more than welcome!.,build-tools,31,True,buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000000,2021-12-30 09:51:11.000000,2021-12-20 01:03:56.000000,1560.0,751.0,4744.0,2021-10-16 08:31:36.000000,3.4.0,116.0,803.0,634.0,buildbot,conda-forge/buildbot,22391.0,1153.0,261.0,https://pypi.org/project/buildbot,2021-10-16 08:31:36.000000,892.0,55459.0,57556.0,https://anaconda.org/conda-forge/buildbot,2021-10-16 13:45:45.804000,47554.0,2.0,,,,18787.0,,,,,,,,,,,,
