,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
131,check-manifest,https://github.com/mgedmin/check-manifest,,Tool to check the completeness of MANIFEST.in for Python packages.,linters,25,True,mgedmin/check-manifest,https://github.com/mgedmin/check-manifest,MIT,2013-03-05 15:27:20.000,2021-04-22 19:51:35.000,2021-04-22 19:51:21.000,30.0,70.0,228.0,,,40.0,19.0,,conda-forge/check-manifest,check-manifest,15.0,520.0,6653.0,4849.0,https://pypi.org/project/check-manifest,2021-01-04 14:37:14.000,1804.0,204500.0,205423.0,https://anaconda.org/conda-forge/check-manifest,2021-01-04 16:36:49.618,26777.0,3.0,,,,,,,,,,
132,flake8-quotes,https://github.com/zheller/flake8-quotes,,Flake8 extension for checking quotes in python.,linters,25,True,zheller/flake8-quotes,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2020-06-06 07:55:44.000,2020-05-12 23:46:18.000,33.0,39.0,126.0,2020-05-12 23:46:28.000,3.2.0,37.0,28.0,['flake8'],conda-forge/flake8-quotes,flake8-quotes,3.0,99.0,4465.0,3061.0,https://pypi.org/project/flake8-quotes,2020-05-12 23:46:28.000,1404.0,572620.0,582269.0,https://anaconda.org/conda-forge/flake8-quotes,2020-05-13 00:39:59.431,540355.0,3.0,,,,,,,,,,
133,MonkeyType,https://github.com/Instagram/MonkeyType,,A system for Python that generates static type annotations by collecting runtime types.,refactoring,24,True,Instagram/MonkeyType,https://github.com/Instagram/MonkeyType,BSD-3-Clause,2017-07-11 00:19:00.000,2021-04-23 19:11:51.000,2021-04-23 19:11:43.000,126.0,104.0,3355.0,2020-05-18 19:40:30.000,20.5.0,20.0,35.0,,conda-forge/monkeytype,monkeytype,35.0,271.0,151.0,117.0,https://pypi.org/project/monkeytype,2020-05-18 19:40:30.000,34.0,44409.0,45196.0,https://anaconda.org/conda-forge/monkeytype,2020-05-19 00:57:07.937,31498.0,2.0,,,,,,,,,,
134,alive-progress,https://github.com/rsalmei/alive-progress,,"A new kind of Progress Bar, with real time throughput, eta and very cool animations!.",logging,24,True,rsalmei/alive-progress,https://github.com/rsalmei/alive-progress,MIT,2019-08-05 05:54:30.000,2021-05-05 04:06:06.000,2021-01-08 01:36:09.000,91.0,46.0,2362.0,2021-01-08 01:37:28.000,1.6.2,19.0,1.0,,conda-forge/alive-progress,alive-progress,22.0,246.0,292.0,292.0,https://pypi.org/project/alive-progress,2021-01-08 01:37:28.000,0.0,12476.0,12957.0,https://anaconda.org/conda-forge/alive-progress,2021-01-08 03:33:35.990,7227.0,3.0,,,,,,,,,,
135,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,,Testinfra test your infrastructures.,testing,24,True,pytest-dev/pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,Apache-2.0,2015-03-15 20:49:52.000,2021-05-11 09:19:47.000,2021-05-11 09:19:47.000,272.0,196.0,1889.0,2021-04-18 09:46:10.000,6.3.0,4.0,103.0,['pytest'],,pytest-testinfra,111.0,661.0,0.0,,https://pypi.org/project/pytest-testinfra,2021-03-18 20:54:27.000,0.0,97792.0,97792.0,,,,3.0,,,,,,,,,,
136,notifiers,https://github.com/liiight/notifiers,,The easy way to send notifications.,logging,24,True,liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2021-05-10 19:26:12.000,2020-12-30 22:21:45.000,72.0,53.0,1865.0,2019-10-05 13:00:41.000,1.2.1,26.0,14.0,,,notifiers,38.0,377.0,135.0,129.0,https://pypi.org/project/notifiers,2019-10-05 13:00:41.000,6.0,284536.0,284536.0,,,,3.0,,,,,,,,,,
137,uiautomator,https://github.com/xiaocong/uiautomator,,Python wrapper of Android uiautomator test tool.,testing,24,True,xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2020-12-29 05:34:09.000,2020-11-16 01:36:32.000,589.0,115.0,1674.0,2020-11-16 03:43:07.000,1.0.2,41.0,13.0,,,uiautomator,171.0,316.0,306.0,184.0,https://pypi.org/project/uiautomator,2020-11-16 03:43:07.000,122.0,10217.0,10217.0,,,,3.0,,,,,,,,,,
138,stackprinter,https://github.com/cknd/stackprinter,,Debugging-friendly exceptions for Python.,logging,24,True,cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000,2021-03-18 20:44:50.000,2021-01-01 18:48:26.000,31.0,13.0,1133.0,2020-10-31 13:10:42.000,0.2.5,14.0,6.0,,,stackprinter,9.0,159.0,57.0,53.0,https://pypi.org/project/stackprinter,2020-10-31 13:06:59.000,4.0,78596.0,78596.0,,,,3.0,,,,,,,,,,
139,pytest-watch,https://github.com/joeyespo/pytest-watch,,Local continuous test runner with pytest and watchdog.,testing,24,False,joeyespo/pytest-watch,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000,2021-01-29 17:57:16.000,2019-06-15 20:36:43.000,48.0,41.0,563.0,2018-05-20 19:52:16.000,4.2.0,17.0,16.0,['pytest'],conda-forge/pytest-watch,pytest-watch,39.0,183.0,2908.0,2126.0,https://pypi.org/project/pytest-watch,2018-05-20 19:52:16.000,782.0,234257.0,235275.0,https://anaconda.org/conda-forge/pytest-watch,2021-01-18 20:02:36.906,40735.0,3.0,,,,,,,,,,
140,nox,https://github.com/theacodes/nox,,Flexible test automation for Python.,testing,24,True,theacodes/nox,https://github.com/theacodes/nox,Apache-2.0,2016-02-24 04:02:58.000,2021-05-08 16:41:58.000,2021-04-24 02:33:57.000,88.0,172.0,537.0,2021-01-01 01:16:23.000,2020.12.31,18.0,57.0,['pytest'],conda-forge/nox,nox,50.0,,590.0,534.0,https://pypi.org/project/nox,2021-01-01 01:16:23.000,56.0,302280.0,303141.0,https://anaconda.org/conda-forge/nox,2021-01-06 20:13:32.270,26708.0,3.0,,,,,,,,,,
