,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
30,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-07-01 21:50:48.434,2023-06-27 09:25:32,609.0,33.0,483.0,43.0,1317.0,82.0,1552.0,3303.0,2023-06-20 02:44:06.000,4.6.3,198.0,282.0,39,True,,tox,conda-forge/tox,['pytest'],123156.0,101523.0,https://pypi.org/project/tox,11595913.0,11615177.0,https://anaconda.org/conda-forge/tox,2023-07-01 21:50:48.434,732060.0,1.0,2020-09-01 17:41:17.000,21633.0,,,,,,,,,,,,,,,,,
31,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-07-06 14:31:48.000,2023-07-06 13:03:25,1830.0,140.0,393.0,68.0,1245.0,190.0,779.0,1563.0,2023-07-06 13:03:10.000,1.27.1,191.0,179.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,46337.0,46012.0,https://pypi.org/project/sentry-sdk,15905987.0,15915164.0,https://anaconda.org/conda-forge/sentry-sdk,2023-06-16 16:13:35.081,509324.0,1.0,2023-02-27 11:01:12.322,325.0,3565.0,,,,,,,,,,,,,,,,
32,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-07-06 10:30:39.000,2023-07-06 05:18:35,11079.0,598.0,493.0,127.0,311.0,177.0,1716.0,9221.0,2023-06-28 09:41:00.815,1.6.6,260.0,145.0,38,True,,nuitka,conda-forge/nuitka,,1360.0,1311.0,https://pypi.org/project/nuitka,66428.0,80565.0,https://anaconda.org/conda-forge/nuitka,2023-07-06 09:49:28.647,537226.0,1.0,2023-01-31 18:21:01.683,49.0,,,,,,,,,,,,,,,,,
33,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2023-07-04 12:04:49.000,2023-07-04 12:04:47,1375.0,22.0,703.0,119.0,463.0,114.0,601.0,4868.0,2022-11-23 18:29:05.901,2.10.0,16.0,131.0,38,True,,pycodestyle,conda-forge/pycodestyle,,362253.0,350747.0,https://pypi.org/project/pycodestyle,28292214.0,28369718.0,https://anaconda.org/conda-forge/pycodestyle,2023-06-16 13:17:34.285,6587905.0,1.0,2022-11-23 18:29:05.901,11506.0,,,,,,,,,,,,,,,,,
34,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-07-04 09:10:41.000,2023-07-03 21:35:52,719.0,15.0,613.0,129.0,121.0,106.0,687.0,15284.0,2023-04-10 09:14:19.000,0.7.0,19.0,43.0,37,True,,loguru,conda-forge/loguru,,59035.0,56503.0,https://pypi.org/project/loguru,7628763.0,7654929.0,https://anaconda.org/conda-forge/loguru,2023-06-16 16:13:46.735,1386834.0,2.0,2020-09-20 07:54:28.000,2532.0,,,,,,,,,,,,,,,,,
35,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-07-03 21:08:57.000,2023-06-30 06:39:10,6321.0,351.0,1068.0,107.0,638.0,18.0,4190.0,10584.0,2023-06-26 07:16:29.000,1.1.316,400.0,95.0,37,True,,,,,556.0,546.0,,,576150.0,,,,2.0,,,581.0,,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-06-26 07:03:56.672,10.0,576116.0,,,,,
36,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-06-29 17:01:28.000,2023-06-29 17:01:26,1313.0,11.0,521.0,67.0,382.0,160.0,451.0,5314.0,2023-03-10 01:02:04.000,1.7.5,12.0,168.0,37,True,,bandit,conda-forge/bandit,,42574.0,42574.0,https://pypi.org/project/bandit,3080702.0,3085638.0,https://anaconda.org/conda-forge/bandit,2023-06-16 16:15:12.910,246224.0,1.0,,,708.0,,,,,,,,,,,,,,,,
37,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-06-15 11:05:23.000,2023-06-07 13:27:05,1454.0,8.0,1751.0,163.0,679.0,245.0,603.0,4404.0,2023-06-07 13:31:28.096,1.2.2,45.0,115.0,37,True,,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],6627.0,16.0,https://pypi.org/project/sphinx_rtd_theme,3789344.0,3830560.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-06-09 10:27:20.086,3420948.0,2.0,2021-09-13 19:53:37.000,6611.0,,,,,,,,,,,,,,,,,
38,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-06-16 13:17:55.073,2023-03-19 12:05:58,2819.0,,292.0,72.0,219.0,113.0,356.0,4378.0,2023-03-03 09:23:05.483,2.0.2,73.0,57.0,37,True,,autopep8,conda-forge/autopep8,,189198.0,183368.0,https://pypi.org/project/autopep8,3345564.0,3359624.0,https://anaconda.org/conda-forge/autopep8,2023-06-16 13:17:55.073,1195158.0,3.0,2022-10-28 21:13:03.171,5830.0,,,,,,,,,,,,,,,,,
39,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2023-06-25 17:04:16.000,2023-06-14 23:05:36,3694.0,38.0,349.0,92.0,243.0,368.0,399.0,4003.0,2023-06-14 23:06:48.129,2.1.3,64.0,59.0,37,True,,invoke,conda-forge/invoke,,23945.0,21234.0,https://pypi.org/project/invoke,5411523.0,5441920.0,https://anaconda.org/conda-forge/invoke,2023-06-15 01:55:44.246,911922.0,1.0,2023-01-16 22:26:01.797,2711.0,,,,,,,,,,,,,,,,,
