,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,new_addition,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
122,typeguard,https://github.com/agronholm/typeguard,,Run-time type checker for Python.,debugging,25,True,agronholm/typeguard,https://github.com/agronholm/typeguard,MIT,2015-12-27 23:15:37.000,2021-01-14 03:39:31.000,2021-01-09 11:48:40.000,52.0,567.0,2020-10-19 08:18:56.000,2.10.0,37.0,16.0,conda-forge/typeguard,,typeguard,26.0,107.0,219.0,158.0,,https://pypi.org/project/typeguard,2020-10-19 08:18:56.000,158.0,499173.0,500215.0,https://anaconda.org/conda-forge/typeguard,2020-06-07 13:28:30.133,25021.0,3.0,,,,,,,,,,,
123,pytest-watch,https://github.com/joeyespo/pytest-watch,,Local continuous test runner with pytest and watchdog.,testing,25,False,joeyespo/pytest-watch,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000,2021-01-18 20:02:36.906,2019-06-15 20:36:43.000,48.0,534.0,2018-05-20 19:52:16.000,4.2.0,17.0,16.0,conda-forge/pytest-watch,['pytest'],pytest-watch,30.0,40.0,183.0,2162.0,1935.0,https://pypi.org/project/pytest-watch,2018-05-20 19:52:16.000,227.0,92790.0,93649.0,https://anaconda.org/conda-forge/pytest-watch,2021-01-18 20:02:36.906,30957.0,3.0,,,,,,,,,,,
124,Mamba Test Runner,https://github.com/nestorsalceda/mamba,,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,testing,25,True,nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2020-11-17 20:29:45.000,2020-11-16 12:31:58.000,61.0,456.0,2020-11-16 12:36:24.000,0.11.2,21.0,22.0,,,mamba,45.0,52.0,468.0,220.0,,https://pypi.org/project/mamba,2020-11-16 12:35:41.000,220.0,8144.0,8144.0,,,,3.0,,,,,,,,,,,
125,paver,https://github.com/paver/paver,,Python-based project scripting.,build-tools,25,True,paver/paver,https://github.com/paver/paver,BSD-3-Clause,2010-11-11 09:43:52.000,2020-12-29 19:27:26.000,2020-12-29 19:24:52.000,76.0,435.0,2017-12-31 01:13:41.000,1.3.4,28.0,44.0,conda-forge/paver,,paver,36.0,90.0,525.0,1876.0,,https://pypi.org/project/paver,2017-12-31 01:13:41.000,1876.0,17233.0,17625.0,https://anaconda.org/conda-forge/paver,2018-07-24 12:48:36.122,19648.0,3.0,,,,,,,,,,,
126,autoflake,https://github.com/myint/autoflake,,Removes unused imports and unused variables as reported by pyflakes.,refactoring,25,True,myint/autoflake,https://github.com/myint/autoflake,MIT,2012-12-27 03:40:17.000,2020-12-27 17:36:41.000,2020-12-27 17:36:40.000,38.0,342.0,2019-08-04 15:14:24.000,1.3.1,36.0,17.0,conda-forge/autoflake,,autoflake,22.0,32.0,439.0,2406.0,1826.0,https://pypi.org/project/autoflake,2019-08-04 15:14:24.000,580.0,176482.0,179192.0,https://anaconda.org/conda-forge/autoflake,2019-04-25 16:08:45.978,56912.0,2.0,,,,,,,,,,,
127,check-manifest,https://github.com/mgedmin/check-manifest,,Tool to check the completeness of MANIFEST.in for Python packages.,linters,25,True,mgedmin/check-manifest,https://github.com/mgedmin/check-manifest,MIT,2013-03-05 15:27:20.000,2021-01-18 14:56:31.000,2021-01-18 14:56:20.000,29.0,219.0,,,40.0,18.0,conda-forge/check-manifest,,check-manifest,14.0,70.0,516.0,5854.0,4050.0,https://pypi.org/project/check-manifest,2021-01-04 14:37:14.000,1804.0,103826.0,104566.0,https://anaconda.org/conda-forge/check-manifest,2021-01-04 16:36:49.618,18520.0,2.0,,,,,,,,,,,
128,gdbgui,https://github.com/cs01/gdbgui,,"Browser-based frontend to gdb (gnu debugger). Add breakpoints, view the stack, visualize data structures, and more in..",debugging,24,True,cs01/gdbgui,https://github.com/cs01/gdbgui,GPL-3.0,2016-10-27 03:19:25.000,2021-01-18 15:36:47.000,2020-12-21 02:51:39.000,457.0,7780.0,2020-12-21 03:07:33.000,0.14.0.2,90.0,35.0,,,gdbgui,105.0,153.0,420.0,63.0,61.0,https://pypi.org/project/gdbgui,2020-12-21 02:53:00.000,2.0,9255.0,9603.0,,,,3.0,2090.0,,,,,,,,,,
129,better-exceptions,https://github.com/Qix-/better-exceptions,,"Pretty and useful exceptions in Python, automatically.",logging,24,True,Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2021-01-02 12:26:41.000,2021-01-02 12:26:40.000,193.0,3848.0,2020-12-24 08:34:45.000,0.3.2,15.0,14.0,,,better-exceptions,29.0,40.0,96.0,74.0,,https://pypi.org/project/better-exceptions,2020-12-24 08:34:45.000,74.0,22032.0,22032.0,,,,3.0,,,,,,,,,,,
130,alive-progress,https://github.com/rsalmei/alive-progress,,"A new kind of Progress Bar, with real time throughput, eta and very cool animations!.",logging,24,True,rsalmei/alive-progress,https://github.com/rsalmei/alive-progress,MIT,2019-08-05 05:54:30.000,2021-01-09 16:00:22.000,2021-01-08 01:36:09.000,47.0,1773.0,2021-01-08 01:37:28.000,1.6.2,19.0,1.0,conda-forge/alive-progress,,alive-progress,13.0,38.0,246.0,212.0,212.0,https://pypi.org/project/alive-progress,2021-01-08 01:37:28.000,0.0,15664.0,16158.0,https://anaconda.org/conda-forge/alive-progress,2021-01-08 03:33:35.990,5437.0,3.0,,,,,,,,,,,
131,notifiers,https://github.com/liiight/notifiers,,The easy way to send notifications.,logging,24,True,liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2020-12-30 22:21:46.000,2020-12-30 22:21:45.000,69.0,1765.0,2019-10-05 13:00:41.000,1.2.1,26.0,14.0,,,notifiers,35.0,52.0,377.0,108.0,102.0,https://pypi.org/project/notifiers,2019-10-05 13:00:41.000,6.0,183511.0,183511.0,,,,3.0,,,,,,,,,,,
